iter	Passed	Remaining
0	1	139
1	2	131
2	3	122
3	4	110
4	5	107
5	6	101
6	7	96
7	8	93
8	8	90
9	9	88
10	10	87
11	11	87
12	13	87
13	13	85
14	14	84
15	15	83
16	16	81
17	17	80
18	18	78
19	19	77
20	20	76
21	21	75
22	22	73
23	23	72
24	23	71
25	24	70
26	25	70
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	48	39
55	49	38
56	50	37
57	50	36
58	51	35
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	24
72	65	24
73	65	23
74	67	22
75	68	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
